知识点id,知识点名称,所属课程
1,数据结构的基本概念、抽象数据类型的表示与实现,数据结构
2,数据结构概念,数据结构
3,抽象数据类型,数据结构
4,算法描述和算法分析,数据结构
5,时间复杂度,数据结构
6,空间复杂度,数据结构
7,线性表的抽象数据类型定义,数据结构
8,复杂操作表示,数据结构
9,线性表的顺序表示和实现,数据结构
10,顺序表定义,数据结构
11,顺序表创建,数据结构
12,顺序表查找,数据结构
13,顺序表插入/删除,数据结构
14,顺序表归并,数据结构
15,线性表的链式表示和实现,数据结构
16,链表定义,数据结构
17,链表创建,数据结构
18,链表查找,数据结构
19,链表插入/删除,数据结构
20,链表归并,数据结构
21,循环链表与双向链表,数据结构
22,定义循环/双向链表,数据结构
23,基本操作,数据结构
24,线性表的应用,数据结构
25,顺序表算法实现,数据结构
26,链表算法实现,数据结构
27,栈的抽象数据类型定义、队列的抽象数据类型定义,数据结构
28,栈的工作原理和抽象数据类型,数据结构
29,队列的工作原理和抽象数据类型,数据结构
30,栈与队列的表示及实现,数据结构
31,定义栈、实现基本操作,数据结构
32,定义队列、实现基本操作,数据结构
33,循环队列,数据结构
34,栈与递归,数据结构
35,栈与队列的应用,数据结构
36,栈实现应用,数据结构
37,队列实现应用,数据结构
38,树的抽象数据类型定义，二叉树的定义与性质,数据结构
39,树的抽象数据类型,数据结构
40,二叉树的定义与性质,数据结构
41,二叉树的存储结构,数据结构
42,顺序存储,数据结构
43,链式存储,数据结构
44,二叉树的递归遍历算法,数据结构
45,先序遍历,数据结构
46,中序遍历,数据结构
47,后序遍历,数据结构
48,二叉树的非递归遍历算法,数据结构
49,先序,数据结构
50,中序,数据结构
51,后序,数据结构
52,层序,数据结构
53,二叉树的应用,数据结构
54,树的存储结构、树及森林的遍历、树、森林与二叉树的相互转换,数据结构
55,树的存储,数据结构
56,树和森林的遍历,数据结构
57,树、森林与二叉树的相互转换,数据结构
58,哈夫曼树存储与构建,数据结构
59,哈夫曼树的存储,数据结构
60,哈夫曼树创建,数据结构
61,哈夫曼编码,数据结构
62,编码实现,数据结构
63,编码应用,数据结构
64,图的定义、基本概念、图的存储结构,数据结构
65,图的定义和概念,数据结构
66,邻接矩阵,数据结构
67,邻接表,数据结构
68,图的遍历,数据结构
69,深度优先遍历,数据结构
70,广度优先遍历,数据结构
71,图的连通性及最小生成树,数据结构
72,连通性,数据结构
73,普利姆算法,数据结构
74,克鲁斯卡尔算法,数据结构
75,拓扑排序,数据结构
76,拓扑排序概念,数据结构
77,拓扑排序算法实现,数据结构
78,关键路径,数据结构
79,关键路径概念,数据结构
80,关键路径算法实现,数据结构
81,最短路径,数据结构
82,最短路径概念,数据结构
83,迪杰斯特拉算法,数据结构
84,佛洛依德算法,数据结构
85,静态查找,数据结构
86,查找效率分析,数据结构
87,顺序查找,数据结构
88,折半查找,数据结构
89,分块查找,数据结构
90,动态查找,数据结构
91,二叉排序树,数据结构
92,平衡二叉树,数据结构
93,动态查找实现,数据结构
94,哈希表,数据结构
95,哈希表概念,数据结构
96,哈希表创建查找,数据结构
97,哈希表分析,数据结构
98,排序算法基本概念和思想,数据结构
99,插入排序,数据结构
100,交换排序,数据结构
101,选择排序,数据结构
102,归并排序,数据结构
103,基数排序,数据结构
104,排序算法的实现,数据结构
105,插入排序实现,数据结构
106,交换排序实现,数据结构
107,选择排序实现,数据结构
108,归并排序实现,数据结构
109,排序算法的比较,数据结构
110,算法时间复杂度,数据结构
111,算法空间复杂度,数据结构
112,算法稳定性,数据结构
